url,type,value
sas.ac.uk,grams of CO2,4.2032713019609
ials.sas.ac.uk,grams of CO2,0.27469345958729
ics.sas.ac.uk,grams of CO2,1.6087082636473
commonwealth.sas.ac.uk,grams of CO2,1.8614171553089
ies.sas.ac.uk,grams of CO2,0.79386252473749
history.ac.uk,grams of CO2,6.7264476443088
modernlanguages.sas.ac.uk,grams of CO2,1.9394311130513
philosophy.sas.ac.uk,grams of CO2,1.9693981764908
warburg.sas.ac.uk,grams of CO2,1.4334140849172
british-history.ac.uk,grams of CO2,0.59236193561635
beinghumanfestival.org,grams of CO2,1.6586969763966
